# 第一方活跃文档统一注册表 + 逐主张清单(11 字段;真实路径;全 38 覆盖)
# lifecycle: CURRENT=当前事实源 / REFERENCE=参考 / EVIDENCE=冻结证据 / ARCHIVE=历史归档(不入本表,见 docs/archive) / UNVERIFIED=未逐行核对
# generated_for=2026-08-24-current-worktree active_first_party_md=38 note=当前 P0/P1 状态重核;CURRENT 行以 HEAD 动态绑定
path	line_or_section	lifecycle	authority	claim_summary	evidence_source	evidence_commit	verification_status	disposition	replacement	last_verified_commit
docs/多层3D探索Demo设计_2026-07-14.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	远期架构预留(BLOCKED);定位句按R003章程校准+M5-0状态更新;功能代码继续禁止	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_VERIFIED	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
docs/术语表_科研小白版.md	整档(逐行审计)	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	科普术语表;4处过期主张修正(PR路径/分支提交数/Stage状态/fork计划)	逐份审计表 governance/P0_doc_audit_逐份审计_2026-07-18.md(读取范围/重放核验/未核实范围逐份登记)	19b75b7	REFERENCE_VERIFIED	KEEP_MARKED	CURRENT_STATUS.md	19b75b7
governance/README.md	§1 两门协议	CURRENT	治理协议权威	bound/current 门语义与能证/不能证	E0-CORRECT 逐章节核对	4360f38	CURRENT_CONSISTENT	KEEP	-	4360f38
governance/README.md	§2 第三方锁定判定	CURRENT	治理协议权威	dependencies.yaml 已创建并可解析;17 组件、LOCKED 13/UNVERIFIED 4、八 gitlink SHA/URL 可复核;许可按逐组件证据等级记录,不宣称全部 license 已验证	E0-CORRECT 逐章节核对	4360f38	CURRENT_CONSISTENT	KEEP	-	4360f38
governance/README.md	§3 构建引用扫描	CURRENT	治理协议权威	静态/构建/镜像零命中+运行时盲区	E0-CORRECT 逐章节核对	4360f38	CURRENT_CONSISTENT	KEEP	-	4360f38
governance/WP303_monitor生命周期方案_2026-07-16.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
governance/WP304_OPEN-1因果时间线与实验设计_2026-07-17.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	OPEN-1 因果时间线+E0/E1 收口链+§11 A/A runbook(决策矩阵/身份链/双基线契约/preflight/P2 分层)	人工方案+只读产物提取	c5a0de9	REFERENCE_MARKED	KEEP_MARKED	-	c5a0de9
governance/P0_doc_audit_逐份审计_2026-07-18.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	14份文档逐行审计记录(C2字段×14+C3统一核查+C6/G4判定)	R003-E0-EVIDENCE-GATE 包C	33449ff	REFERENCE_MARKED	KEEP_MARKED	-	33449ff
runbooks/world-model-jazzy/l0_hover/open1/README.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	WP304 E0-E1 全链+§7c 运行期旁路(裁决前阻断项加 SUPERSEDED)+§8 A/A 前置工具:真实性门+aa_cli 正式入口/aa_launch 库层(真实仿真未执行)	人工方案+只读产物提取	f60b33c	REFERENCE_MARKED	KEEP_MARKED	-	f60b33c
runbooks/p2-offline-prep/rrg决策层对拍harness_设计_2026-07-28.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	P2 离线 RRG 决策层 tap/replay 对拍设计;不构成 P2 启动或对齐结论	设计文档现场核对	HEAD	REFERENCE_MARKED	KEEP_MARKED	CURRENT_STATUS.md	HEAD
runbooks/world-model-jazzy/l0_hover/open1/XY审计悬停尺度误挡_裁决材料_2026-07-28.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	历史 XY 审计误挡证据与修改提案;未获批不改 gate	裁决材料现场核对	HEAD	REFERENCE_MARKED	KEEP_MARKED	CURRENT_STATUS.md	HEAD
runbooks/world-model-jazzy/README.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	目录导览(现役工具 vs 冻结证据分类)	实测分类 2026-07-18	33449ff	REFERENCE_MARKED	KEEP_MARKED	-	33449ff
runbooks/diagnostics/README.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
runbooks/gbplanner_ref/README.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
runbooks/world-model-humble-fixes/baseline-patch/README.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
runbooks/world-model-jazzy/l0_hover/l0_batch_evidence_2026-07-14.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结原始实验证据(数值不改)	机器分类+人工规则	19b75b7	EVIDENCE_FROZEN	KEEP	-	19b75b7
runbooks/world-model-jazzy/l0_hover/l15_frame_audit_evidence_2026-07-16.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结原始实验证据(数值不改)	机器分类+人工规则	19b75b7	EVIDENCE_FROZEN	KEEP	-	19b75b7
runbooks/world-model-jazzy/l0_hover/l1_bringup_evidence_2026-07-15.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结原始实验证据(数值不改)	机器分类+人工规则	19b75b7	EVIDENCE_FROZEN	KEEP	-	19b75b7
runbooks/world-model-jazzy/stage5a_diagnosis.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结原始实验证据(数值不改)	机器分类+人工规则	19b75b7	EVIDENCE_FROZEN	KEEP	-	19b75b7
接力棒_当前值班.md	当前交接块	CURRENT	交接锁	固定三仓基线、已完成验证、P1-2下一停点及短闭环严格验收边界	当前代码、证据与任务队列重核	HEAD	CURRENT_CONSISTENT	KEEP	-	HEAD
工作铁律.md	整档	CURRENT	执行纪律权威(非状态源)	实证/颗粒度/文档/收口/红线五章铁律	E0-CORRECT 逐章节核对	33449ff	CURRENT_CONSISTENT	KEEP	-	33449ff
文档索引.md	整档	CURRENT	导航(不承载状态)	入口/导航/协议,指向 CURRENT_STATUS	E0-CORRECT 逐章节核对	da695d3	CURRENT_ENTRY	KEEP	-	da695d3
项目简洁汇报.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	参考资料,不承载当前状态	机器分类+人工规则	19b75b7	REFERENCE_MARKED	KEEP_MARKED	-	19b75b7
governance/ros2_host_env_pins_2026-07-20.md	整档	REFERENCE	派生/参考;状态权威=CURRENT_STATUS.md	宿主 ROS2 环境 pins(方案A 裁决;版本/回滚/激活;未 source 仍 fail-closed)	宿主 dpkg 实测 2026-07-20	bae00bc	REFERENCE_MARKED	KEEP_MARKED	-	bae00bc
governance/AA环境接线_companion镜像重建与preflight复核_2026-07-20.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结证据:镜像重建有效;§5-§8=五轮击穿与补正(占位符/测试孤岛/验收出口/终态语义);不改判门	宿主 docker/preflight 实测 2026-07-20	10e3e72	EVIDENCE_FROZEN	KEEP	-	10e3e72
runbooks/world-model-jazzy/l0_hover/open1/AA001_r3_定向分析_2026-07-21.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结证据:aa-r3 失败定向分析(候选链=FCU 慢启动>预算;候选非CONFIRMED;AA002 观测建议)	只读离线实测 2026-07-21	3ee8806	EVIDENCE_FROZEN	KEEP	-	3ee8806
runbooks/world-model-jazzy/l0_hover/open1/AA003_result_OPEN1判读_2026-07-22.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结证据:真实 AA003 aa-r1 OFF 失败(preflight_timeout/never arm);A/A 无结论;OPEN-1 新证据=首个失败样本+BIN(LOG_DISARMED=1 生效,含 XKF/NKF/VISO);OPEN-1 仍未定位(慢启动上游因 UNKNOWN)	只读离线实测 2026-07-22	e5a14b1	EVIDENCE_FROZEN	KEEP	-	e5a14b1
runbooks/world-model-jazzy/l0_hover/open1/AA003_BIN_EKF分析_2026-07-22.md	整档	EVIDENCE	派生/参考;状态权威=CURRENT_STATUS.md	冻结证据:aa-r1 BIN(pymavlink)+rosbag 分析;CONTRADICTED 输入慢/EKF慢/origin慢;RTF=0.30(40s硬停=时钟误读);直接观测 sender ready 狂闪(local_position_fresh 推断);候选推进未定位	只读离线实测 2026-07-22	58b3d6b	EVIDENCE_FROZEN	KEEP	-	15595c8
